'10.22.25.105','10.22.25.106','10.22.25.111'; ;International_UK;NonBuildIp
'10.22.25.70','10.22.25.73','10.22.25.91'; ;International_UK;OldBuildIp
'10.22.25.70','10.22.25.73','10.22.25.91'; ;International_UK;BuildIp
'172.17.6.227','172.17.6.32','172.17.7.235','172.17.8.92'; ;Channel;NonBuildIp
'172.17.8.95','172.17.9.181','172.17.9.185','172.17.9.212'; ;Channel;OldBuildIp
'172.17.8.95','172.17.9.181','172.17.9.185','172.17.9.212'; ;Channel;BuildIp
'172.17.7.105','172.17.6.168','172.17.9.223','172.17.9.219','172.17.7.29','172.17.6.67'; ;Merillynch;NonBuildIp
'172.17.9.90','172.17.6.175','172.17.7.168','172.17.9.237','172.17.6.229','172.17.6.192'; ;Merillynch;OldBuildIp
'172.17.9.90','172.17.6.175','172.17.7.168','172.17.9.237','172.17.6.229','172.17.6.192'; ;Merillynch;BuildIp
'172.17.7.95','172.17.7.91','172.17.9.250','172.17.8.234','172.17.9.166','172.17.7.221','172.17.8.148','172.17.8.160','172.17.7.136','172.17.9.21','172.17.7.187','172.17.8.146','172.17.9.242','172.17.6.35','172.17.6.112','172.17.8.73','172.17.8.121'; ;Large Backend;NonBuildIp
'172.17.9.132','172.17.9.168','172.17.9.85','172.17.9.88','172.17.9.182','172.17.9.91','172.17.9.72','172.17.7.18','172.17.7.93','172.17.7.21','172.17.8.108','172.17.8.126','172.17.6.200','172.17.7.152','172.17.6.90','172.17.7.165','172.17.8.248'; ;Large Backend;OldBuildIp
'172.17.9.132','172.17.9.168','172.17.9.85','172.17.9.88','172.17.9.182','172.17.9.91','172.17.9.72','172.17.7.18','172.17.7.93','172.17.7.21','172.17.8.108','172.17.8.126','172.17.6.200','172.17.7.152','172.17.6.90','172.17.7.165','172.17.8.248'; ;Large Backend;BuildIp
'172.17.6.75','172.17.6.156','172.17.7.113','172.17.6.43'; ;YI_Channel;NonBuildIp
'172.17.6.213','172.17.6.70','172.17.7.134','172.17.6.228'; ;YI_Channel;OldBuildIp
'172.17.6.213','172.17.6.70','172.17.7.134','172.17.6.228'; ;YI_Channel;BuildIp
'172.17.9.210','172.17.9.103','172.17.6.173','172.17.9.200','172.17.7.147'; ;YI_Cobrand;NonBuildIp
'172.17.7.131','172.17.7.140','172.17.9.79','172.17.9.177','172.17.6.95'; ;YI_Cobrand;OldBuildIp
'172.17.7.131','172.17.7.140','172.17.9.79','172.17.9.177','172.17.6.95'; ;YI_Cobrand;BuildIp
